ParentRegion,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping,popularity
Central Europe,Germany,DEU,420,,,,,,,,,,,,,,o,o,-,-,+,o,+,o,+,o,+
Central Europe,Austria,AUT,500,+,+,+,o,+,++,++,++,+,o,-,+,,+,+,--,-,o,++,+,o,+,o,++
Central Europe,Benelux,NLD,420,,,,,,,,,,,,,,o,o,-,-,o,-,+,-,+,o,+
Central Europe,Switzerland and Liechtenstein,CHE,750,+,+,+,o,+,++,++,++,+,o,-,+,,+,+,--,-,o,++,+,o,+,o,+
Central Europe,France,FRA,420,,,,,,,,,,,,,,+,+,+,o,o,o,+,+,+,+,++
Central Europe,Slovenia and Croatia,SVN,350,,,,,,,,,,,,,,o,o,+,o,o,-,+,o,+,o,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,British Islands,,420,-,-,o,+,++,++,+,+,+,+,o,-,+,,,,,,,,,,,
British Islands,Ireland and Northern Ireland,IRL,400,,,,,,,,,,,,,,+,o,--,--,o,-,+,o,o,o,+
British Islands,Scotland,GBR_SC,400,,,,,,,,,,,,,,o,o,--,--,o,-,+,-,o,o,+
British Islands,England and Wales,GBR_EN,400,,,,,,,,,,,,,,o,o,-,--,o,--,+,-,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Eastern Europe,,350,-,-,-,o,++,++,+,+,++,++,o,-,+,,,-,,,,,,,,
Eastern Europe,Czech Republic and Slovakia,CZE,350,,,,,,,,,,,,,,o,o,--,--,o,o,+,o,+,o,o
Eastern Europe,Hungary,HUN,350,,,,,,,,,,,,,,o,+,-,-,o,-,+,o,+,o,o
Eastern Europe,Baltic states,EST,350,,,,,,,,,,,,,,o,o,-,-,o,-,+,o,+,-,o
Eastern Europe,Poland,POL,350,,,,,,,,,,,,,,o,-,-,-,o,--,o,o,o,o,o
Eastern Europe,"Belarus, Ukraine and Moldova",BLR,350,,,,,,,,,,,,,,o,o,-,-,-,-,o,o,-,-,--
Eastern Europe,"Romania, Bulgaria and Macedonia",ROU,350,,,,,,,,,,,,,,o,o,o,o,-,--,o,o,o,-,-
Eastern Europe,"Serbia, Bosnia and Herzegovina, Montenegro",SRB,350,,,,,,,,,,,,,,-,-,--,--,-,--,o,o,-,-,-
Eastern Europe,"Albania, Kosovo",ALB,350,,,,,,,,,,,,,,-,-,o,-,-,--,o,o,-,-,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Southern Europe,,350,-,-,o,++,++,++,+,+,++,++,+,o,o,,,,,,,,,,,
